id,artist,name,duration,bpm,mood,score
3FAclTFfvUuQYnEsptbK8w,Amy Winehouse,Back To Black,4.02,122.728,energik,81
3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Treat You Better,3.13,82.695,fokus,84
0VO8gYVDSwM1Qdd2GsMoYK,Swedish House Mafia;The Weeknd,Moth To A Flame (with The Weeknd),3.9,120.146,energik,83
3UIENhLRdFIOuRan92cAQu,Duncan Dhu,En algún lugar,3.93,74.214,relaksasi,72
0xzI1KAr0Yd9tv8jlIk3sn,benny blanco;BTS;Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),2.88,120.048,energik,87
3yfqSUWxFvZELEM4PmlwIR,Eminem,The Real Slim Shady,4.74,104.504,fokus,87
2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,3.09,110.018,fokus,83
1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,3.2,108.966,fokus,89
67Hna13dNDkZvBpTXRIaOJ,Massive Attack,Teardrop,5.51,76.997,relaksasi,71
1is8gU4RVcN4J8xItxWoOY,Clinton Kane,I GUESS I'M IN LOVE,3.4,77.213,relaksasi,77
1bgKMxPQU7JIZEhNsM1vFs,Alesso;Zara Larsson,Words (feat. Zara Larsson),2.38,124.026,energik,85
0ct6r3EGTcMLPtrXHDvVjc,Avicii,The Nights,2.94,125.983,energik,86
0eu4C55hL6x29mmeAjytzC,Oliver Tree,Life Goes On,2.7,79.982,relaksasi,79
68Dni7IE4VyPkTOH9mRWHr,J. Cole,No Role Modelz,4.88,100.028,fokus,88
0pdfN7nOHMYmKykzu1cyfm,Shania Twain,Any Man Of Mine,4.11,78.235,relaksasi,73
5jt25aFjW2kNoBqaEVaz5W,Mora;Feid,LA INOCENTE,3.37,91.911,fokus,89
4a5pNRjwmzYQuEY1E7O6pj,Supertramp,Breakfast In America - 2010 Remastered,2.66,75.14,relaksasi,72
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,4.01,124.053,energik,93
3N4DI1vuTSX1tz7fa2NQZw,Amy Winehouse,Rehab,3.58,71.815,relaksasi,73
